# Evoluation started on 2022/12/09 07:52:23
# Generation	   Best 	   Average 	   Worst
	152		   2.016	   1.774	   0.687
	153		   2.027	   1.814	   1.151
	154		   1.994	   1.713	   1.115
	155		   1.954	   1.681	   0.946
	156		   2.007	   1.704	   0.591
	157		   2.022	   1.758	   1.020
	158		   2.008	   1.824	   0.983
	159		   1.995	   1.733	   1.126
	160		   1.956	   1.688	   1.159
	161		   2.002	   1.774	   1.093
	162		   2.014	   1.792	   1.168
	163		   2.023	   1.842	   0.939
	164		   1.993	   1.807	   1.193
	165		   1.998	   1.735	   0.815
	166		   2.025	   1.816	   0.961
	167		   1.983	   1.739	   1.011
	168		   1.999	   1.733	   0.779
	169		   1.969	   1.716	   0.964
	170		   2.011	   1.806	   1.105
	171		   2.007	   1.800	   1.085
	172		   2.013	   1.788	   0.926
	173		   2.011	   1.847	   1.307
	174		   1.998	   1.791	   1.053
	175		   2.016	   1.752	   0.873
	176		   2.003	   1.878	   0.967
	177		   2.011	   1.821	   1.041
	178		   2.021	   1.810	   0.986
	179		   2.022	   1.846	   1.013
	180		   2.022	   1.840	   1.080
	181		   2.014	   1.860	   1.143
	182		   2.027	   1.871	   0.925
	183		   2.029	   1.838	   0.764
	184		   2.025	   1.764	   0.762
	185		   2.017	   1.786	   0.796
	186		   2.009	   1.734	   0.810
	187		   1.995	   1.736	   0.851
	188		   2.026	   1.806	   0.742
	189		   2.031	   1.838	   0.857
	190		   2.028	   1.875	   1.068
	191		   2.028	   1.892	   1.069
	192		   2.014	   1.814	   1.129
	193		   2.014	   1.808	   0.984
	194		   2.011	   1.744	   0.879
	195		   2.021	   1.788	   0.955
	196		   2.007	   1.731	   0.894
	197		   2.035	   1.848	   0.795
	198		   2.029	   1.814	   0.882
	199		   2.020	   1.811	   0.939
	200		   2.026	   1.773	   1.016
	201		   2.006	   1.773	   0.906
	202		   2.031	   1.835	   1.121
	203		   2.001	   1.757	   0.900
	204		   2.017	   1.748	   0.872
	205		   2.003	   1.718	   0.986
	206		   2.030	   1.838	   0.920
	207		   2.025	   1.784	   0.872
	208		   2.021	   1.859	   0.625
	209		   2.030	   1.919	   1.189
	210		   2.023	   1.796	   1.173
	211		   2.029	   1.788	   1.198
	212		   2.015	   1.798	   1.049
	213		   1.991	   1.770	   1.218
	214		   1.993	   1.728	   1.103
	215		   2.026	   1.791	   1.016
	216		   2.032	   1.837	   1.287
	217		   2.017	   1.809	   1.204
	218		   2.014	   1.789	   1.027
	219		   2.028	   1.814	   0.906
	220		   2.031	   1.880	   1.113
	221		   2.014	   1.796	   1.006
	222		   2.019	   1.784	   0.949
	223		   2.041	   1.930	   0.971
	224		   2.029	   1.853	   1.265
	225		   2.015	   1.825	   1.190
	226		   2.029	   1.858	   0.918
	227		   2.019	   1.873	   1.045
	228		   2.030	   1.876	   1.059
	229		   2.027	   1.838	   1.091
	230		   2.022	   1.783	   1.003
	231		   2.003	   1.809	   1.081
	232		   2.029	   1.825	   0.920
	233		   1.974	   1.674	   1.083
	234		   2.033	   1.831	   0.849
	235		   2.028	   1.844	   1.029
	236		   2.012	   1.783	   1.037
	237		   2.009	   1.743	   0.898
	238		   2.027	   1.746	   1.084
	239		   2.007	   1.780	   1.099
	240		   2.033	   1.836	   0.964
	241		   2.022	   1.857	   1.306
	242		   2.032	   1.868	   1.242
	243		   2.028	   1.836	   1.212
